OBJECTID,ID_NOM,ID_TAXON,ID_ARBRE,CLASSE,NOM_LATIN,NOM_COM_GE,NOM_COMMUN,NOM_COM_RE,DIAM_1M,DIAM_COURO,HAUTEUR_TO,REMARQUABL,CHAMPION,INT_PHENO,STATUT,ADR_URL,COMMUNE,NO_POSTAL,CIRCONFERENCE,DATE_OBSERVATION,E,N
93468,13998,37435,135417,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genthod,1294,,19760606.0,2500821.34,1123914.16
94362,13998,37435,129888,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Hermance,1248,,19760606.0,2507353.62,1127209.75
99459,13994,37421,291656,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,,,,,0,,Positionné,,Satigny,1242,,,2491873.55,1117510.9
106169,13998,37435,128812,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Choulex,1244,,20191113.0,2505640.07,1120444.09
105119,13998,37435,142656,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Nommé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Eaux-Vives,1206,,20200714.0,2500922.12,1116929.72
109408,13998,37435,148230,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",224.0,14.0,37.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Cologny,1223,702.0,20150630.0,2502832.61,1118736.88
109073,13998,37435,146954,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",239.0,10.0,25.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Pregny-Chambésy,1292,750.0,20121101.0,2499875.75,1120963.03
106665,13998,37435,120186,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",146.0,14.0,28.0,,0,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Petit-Saconnex,1203,460.0,20180509.0,2498362.88,1117611.28
110231,13998,37435,170170,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",245.0,14.0,28.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Chêne-Bougeries,1224,769.0,20131218.0,2502546.4,1117004.26
110036,13998,37435,169634,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",90.0,12.0,30.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genthod,1294,283.0,20121108.0,2501330.45,1124423.44
127203,13994,37421,19675,Conifères,Sequoia gigantea,Séquoia,Séquoia,Séquoia,159.0,14.0,31.0,,1,,Relevé,,Vandoeuvres,1253,500.0,20150528.0,2504155.71,1119150.1
149622,13993,37420,241753,Conifères,Sequoia,Séquoia,Séquoia,Séquoia,123.0,15.0,25.0,,0,,Relevé,pas de fiche,Presinge,1243,386.0,20081217.0,2508531.57,1118236.76
169529,13998,37435,91491,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",186.0,10.0,22.0,,1,,Relevé,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Lancy,1213,585.0,20190911.0,2498360.22,1116317.81
